station,valid,lat,lon,elevation,tmpf,dwpf,relh,drct,sknt,feel
HQG,2020-12-27T18:00:00.000000,37.1631,-101.3705,956.52,45.933334,27.933332,49.72333,341.1111,15.277778,40.57722
LBL,2018-11-23T06:00:00.000000,37.0442,-100.9599,879.0,49.5,39.0,67.08,200.0,18.0,46.18
GCK,2019-03-12T06:00:00.000000,37.9275,-100.7244,881.0,44.0,41.75,91.7,171.66667,12.083333,37.384167
HQG,2020-05-12T00:00:00.000000,37.1631,-101.3705,956.52,48.244446,40.155556,74.35555,107.77778,17.5,43.719444
HQG,2019-06-03T12:00:00.000000,37.1631,-101.3705,956.52,62.461113,59.366665,89.73444,217.22223,10.222222,62.47222
19S,2018-03-05T06:00:00.000000,37.4969,-100.8329,892.57,50.105556,12.516666,25.877222,258.8889,16.222221,45.889446
LBL,2020-01-02T18:00:00.000000,37.0442,-100.9599,879.0,44.333332,28.8,55.795,68.333336,14.166667,39.265
HQG,2019-01-22T00:00:00.000000,37.1631,-101.3705,956.52,53.488888,33.794445,48.395557,170.0,9.277778,52.325
HQG,2020-02-26T06:00:00.000000,37.1631,-101.3705,956.52,23.6,19.11111,82.725555,330.55554,16.61111,9.378889
LBL,2020-05-28T06:00:00.000000,37.0442,-100.9599,879.0,56.5,48.333332,74.72667,241.66667,5.5,56.533333
EHA,2019-12-26T00:00:00.000000,37.0008,-101.88,1099.0,59.233334,25.11111,27.867777,255.55556,12.611111,58.857777
3K3,2019-04-14T00:00:00.000000,37.9917,-101.7463,1005.7,50.3,27.0,40.57722,110.55556,5.2777777,49.160557
JHN,2019-10-25T06:00:00.000000,37.5782,-101.7304,1012.71,26.766666,19.922222,75.86056,289.44446,7.0,18.519444
JHN,2020-08-22T00:00:00.000000,37.5782,-101.7304,1012.71,88.083336,61.916668,42.42278,110.55556,6.2777777,88.45722
3K3,2020-01-22T00:00:00.000000,37.9917,-101.7463,1005.7,39.9,32.6,75.35333,157.22223,10.277778,33.089443
HQG,2019-02-07T12:00:00.000000,37.1631,-101.3705,956.52,11.172222,8.216666,87.636665,223.33333,6.111111,0.40833333
GCK,2020-03-12T00:00:00.000000,37.9275,-100.7244,881.0,65.166664,33.666668,31.52,178.33333,14.666667,65.15
GCK,2020-01-17T06:00:00.000000,37.9275,-100.7244,881.0,24.78125,22.30625,90.175,145.0,13.0,12.365
JHN,2019-01-02T18:00:00.000000,37.5782,-101.7304,1012.71,22.216667,11.188889,62.420555,305.0,9.944445,10.809444
JHN,2020-10-06T06:00:00.000000,37.5782,-101.7304,1012.71,57.80625,39.13125,50.094376,200.625,7.3125,57.7875
LBL,2018-01-03T00:00:00.000000,37.0442,-100.9599,879.0,21.666666,3.0166667,44.463333,202.0,5.0,14.538333
19S,2020-06-11T06:00:00.000000,37.4969,-100.8329,892.57,61.855556,42.88889,50.324444,133.88889,7.8333335,61.855556
GCK,2020-12-13T00:00:00.000000,37.9275,-100.7244,881.0,33.163635,29.2,85.226364,99.09091,7.909091,25.844545
EHA,2018-12-12T18:00:00.000000,37.0008,-101.88,1099.0,52.633335,22.694445,32.26611,218.88889,13.611111,50.45111
EHA,2020-01-09T18:00:00.000000,37.0008,-101.88,1099.0,48.58889,20.48889,34.025555,44.444443,5.2777777,48.583332
JHN,2018-03-13T18:00:00.000000,37.5782,-101.7304,1012.71,47.327778,17.522223,30.50389,121.111115,8.388889,44.715557
19S,2020-08-13T00:00:00.000000,37.4969,-100.8329,892.57,83.85,70.89445,65.471664,104.44444,8.222222,88.119446
GCK,2018-11-11T06:00:00.000000,37.9275,-100.7244,881.0,34.3,25.183332,70.85167,27.5,7.3333335,27.548334
19S,2020-12-23T00:00:00.000000,37.4969,-100.8329,892.57,51.616665,33.983334,51.316666,184.44444,11.555555,49.105
19S,2018-06-05T12:00:00.000000,37.4969,-100.8329,892.57,60.83889,56.91111,87.235,147.77777,6.5,60.833332
JHN,2018-08-09T00:00:00.000000,37.5782,-101.7304,1012.71,74.96667,63.33889,67.41556,105.55556,2.4444444,74.977776
LBL,2020-06-02T12:00:00.000000,37.0442,-100.9599,879.0,66.333336,59.0,77.60333,198.33333,12.666667,66.316666
LBL,2020-09-09T18:00:00.000000,37.0442,-100.9599,879.0,40.4,37.7,90.00375,270.0,17.75,30.915
